### Module positions - created on 2022-05-07 06:32
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 85.664mm, Pcb Width 173.505mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 203.962mm ,119.380mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
Q16           BC857               SOT-23                        -166.1988  31.3937    -165.2488  -206.4288   -90.0    top       SMD
Q15           BC857               SOT-23                        -15.7038   31.3937    -14.7538   -206.4288   -90.0    top       SMD
Q14           BC857               SOT-23                        -29.6738   31.3937    -28.7238   -206.4288   -90.0    top       SMD
Q13           BC857               SOT-23                        -120.4788  31.3937    -119.5288  -206.4288   -90.0    top       SMD
Q12           BC857               SOT-23                        -135.0838  31.3937    -134.1338  -206.4288   -90.0    top       SMD
Q11           BC857               SOT-23                        -149.6888  31.3937    -148.7388  -206.4288   -90.0    top       SMD
JP11          Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -16.2731   67.0600    -16.2731   -171.7000    90.0    top       THD
J5_AC_INPUT1  Screw_Terminal_01.. TerminalBlock_bornier-2_P5... -8.0381    8.9052     -8.0381    -229.8548   -90.0    top       THD
D11           LED_Small           LED_D3.0mm_Clear              -15.0991   41.9375    -15.0991   -196.8225   -90.0    top       THD
C11           10n                 C_Rect_L19.0mm_W7.0mm_P15.0.. -8.6731    42.7850    -8.6731    -195.9750    90.0    top       THD
U8            MOC3083M            DIP-6_W7.62mm_Socket_LongPads -71.2570   31.1402    -71.2570   -207.6198    90.0    top       THD
Q9            BT136-600           TO-220-3_Vertical             -42.9631   61.8504    -42.9631   -176.9096     0.0    top       THD
JP1           Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -166.7681  67.0600    -166.7681  -171.7000    90.0    top       THD
RV6           Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -83.6431   70.1840    -83.6431   -168.5760   180.0    top       THD
U2            MOC3083M            DIP-6_W7.62mm_Socket_LongPads -162.3531  31.1402    -162.3531  -207.6198    90.0    top       THD
Q7            BT136-600           TO-220-3_Vertical             -74.0781   61.8504    -74.0781   -176.9096     0.0    top       THD
JP9           Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -120.4131  67.0600    -120.4131  -171.7000    90.0    top       THD
J3_DC5V1      Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -64.8970   11.7152    -64.8970   -227.0448    90.0    top       THD
Q2            BT136-600           TO-220-3_Vertical             -147.7381  61.8504    -147.7381  -176.9096     0.0    top       THD
D5            LED_Small           LED_D3.0mm_Clear              -104.6882  41.8997    -104.6882  -196.8603   -90.0    top       THD
